id,name,description,url,image_cover_url,follower_count,section_count,pin_count,category,privacy,modifiedAt,owner_username,owner_full_name,owner_image_medium_url
224476431366097884,Quick Saves,,/crazyforcrust/_quick_saves/,https://i.pinimg.com/200x150/7f/33/c7/7f33c7819cb0dec4a266e01b9f8d1157.jpg,449503,0,1,,public,2025-03-14 22:24:15,crazyforcrust,Crazy for Crust,https://i.pinimg.com/75x75_RS/40/dd/bf/40ddbf09072c18f84fd19ee910236285.jpg
227150443644477048,Hair/Makeup/Nails,,/hollyberry66/hairmakeupnails/,https://i.pinimg.com/custom_covers/200x150/227150443644477048_1370495252.jpg,775,0,8639,hair_beauty,public,2026-06-25 03:24:58,hollyberry66,Holly Johnson,https://i.pinimg.com/75x75_RS/fb/ab/e6/fbabe64d3e3abae0f47d3ceb8e7afaf4.jpg
246431479549603867,Festivals,,/sallybeauty/festivals/,https://i.pinimg.com/200x150/28/7d/cc/287dcc014efa8e3bb592a4b6c308f40a.jpg,83700,0,3,,public,2026-04-16 14:00:37,sallybeauty,Sally Beauty,https://i.pinimg.com/75x75_RS/90/e0/4e/90e04e68ede34e9800c4a7874face893.jpg
28288372598375015,Desserts,The best dessert recipes!,/yammie/desserts/,https://i.pinimg.com/custom_covers/200x150/28288372598375015_1461144852.jpg,103481,0,446,food_drink,public,2026-06-15 22:04:25,yammie,Yammie's Noshery,https://i.pinimg.com/75x75_RS/b9/f1/b9/b9f1b9c27393aa0c5f85cbf5d416ecda.jpg
28288372598404826,"Sides, Appetizers, Etc.",Sides and apps recipes,/yammie/sides-appetizers-etc/,https://i.pinimg.com/custom_covers/200x150/28288372598404826_1366746719.jpg,103411,0,229,food_drink,public,2026-06-12 14:21:30,yammie,Yammie's Noshery,https://i.pinimg.com/75x75_RS/b9/f1/b9/b9f1b9c27393aa0c5f85cbf5d416ecda.jpg
28288372598434002,Glutenfreedom,gluten free recipes!,/yammie/glutenfreedom/,https://i.pinimg.com/custom_covers/200x150/28288372598434002_1391221750.jpg,105015,0,289,food_drink,public,2026-05-06 18:50:55,yammie,Yammie's Noshery,https://i.pinimg.com/75x75_RS/b9/f1/b9/b9f1b9c27393aa0c5f85cbf5d416ecda.jpg
28288372598460028,Breakfast,Breakfast recipes to start your morning right,/yammie/breakfast/,https://i.pinimg.com/custom_covers/200x150/28288372598460028_1366746366.jpg,101777,0,235,food_drink,public,2026-06-24 19:59:10,yammie,Yammie's Noshery,https://i.pinimg.com/75x75_RS/b9/f1/b9/b9f1b9c27393aa0c5f85cbf5d416ecda.jpg
28288372598460029,Dinner,Dinner Recipes,/yammie/dinner/,https://i.pinimg.com/custom_covers/200x150/28288372598460029_1366746321.jpg,102577,0,465,food_drink,public,2026-04-23 01:52:11,yammie,Yammie's Noshery,https://i.pinimg.com/75x75_RS/b9/f1/b9/b9f1b9c27393aa0c5f85cbf5d416ecda.jpg
28288372598460030,Cookies,Cookie recipes to die for,/yammie/cookies/,https://i.pinimg.com/200x150/a9/dd/2b/a9dd2b6eed2be9c166e2cdfae632c311.jpg,102078,0,176,food_drink,public,2026-06-19 20:11:04,yammie,Yammie's Noshery,https://i.pinimg.com/75x75_RS/b9/f1/b9/b9f1b9c27393aa0c5f85cbf5d416ecda.jpg
28288372598460034,Bread Recipes,"Loaves, Rolls, Pretzels, etc.",/yammie/bread-recipes/,https://i.pinimg.com/custom_covers/200x150/28288372598460034_1366746187.jpg,101734,0,85,food_drink,public,2026-06-13 17:04:41,yammie,Yammie's Noshery,https://i.pinimg.com/75x75_RS/b9/f1/b9/b9f1b9c27393aa0c5f85cbf5d416ecda.jpg
